Cocktail Name,Ingredient 1,Ingredient 2,Ingredient 3,Flavor Profile 1,Flavor Profile 2,User Rating
Apple Cider Spritz,Apple Cider,Club Soda,Cinnamon Stick,Sweet,Refreshing,4.1
Banana Mango Smoothie,Banana,Mango,Yogurt,Sweet,Creamy,4.2
Beetroot Tonic,Beetroot Juice,Tonic Water,Lemon Juice,Bitter,Refreshing,4.2
Bitter Orange Spritzer,Orange Juice,Tonic Water,Grapefruit Juice,Bitter,Refreshing,4.1
Blackberry Ginger Spritzer,Ginger Beer,Lemon Juice,Blackberries,Sour,Refreshing,4.3
Blackberry Lemonade,Lemonade,Blackberries,Simple Syrup,Sweet,Refreshing,4.2
Blackberry Sage Spritzer,Blackberry Syrup,Club Soda,Sage leaves,Sweet,Herbal,4.3
Blackberry Thyme Smash,Blackberries,Thyme syrup,Lime,Sour,Herbal,4.2
Blood Orange Ginger Beer,Blood Orange Juice,Ginger Beer,Lime,Sour,Refreshing,4.1
Blueberry Ginger Fizz,Blackberry Syrup,Ginger Ale,Lime,Sour,Fruity,4.3
Blueberry Lemon Spritzer,Lemonade,Blueberries,Soda Water,Sweet,Fruity,4.1
Carrot Ginger Tonic,Carrot Juice,Ginger Juice,Tonic Water,Bitter,Spicy,4.1
Celery Tonic,Celery Juice,Tonic Water,Lemon Juice,Bitter,Refreshing,4.2
Cherry Cola,Cherry Syrup,Cola,Cherry,Sweet,Fruity,4
Cherry Vanilla Soda,Cherry Syrup,Club soda,Vanilla Extract,Sweet,Fruity,4.3
Chocolate Banana Shake,Milk,Banana,Chocolate Syrup,Creamy,Sweet,4.1
Citrus Mint Cooler,Orange Juice,Grapefruit Juice,Mint leaves,Sour,Refreshing,4.3
Coconut Cream Chai,Chai Tea,Coconut Milk,Honey,Creamy,Spicy,4.2
Coconut Creamsicle,Coconut Milk,Orange Juice,Vanilla Extract,Creamy,Citrusy,4.2
Coconut Lime Cooler,Coconut Water,Lime Juice,Agave Syrup,Sweet,Creamy,4.2
Cranberry Lime Spritzer,Cranberry Juice,Lime Juice,Club Soda,Sour,Refreshing,4.3
Cranberry Orange Spritzer,Cranberry Juice,Orange Juice,Soda Water,Sweet,Fruity,4.2
Cranberry Spritz,Cranberry Juice,Club Soda,Lime juice,Tart,Refreshing,4.1
Cranberry Thyme Spritzer,Cranberry Juice,Thyme syrup,Club Soda,Sour,Herbal,4.2
Cucumber Cooler,Cucumber Juice,Lime Juice,Club Soda,Bitter,Refreshing,4.3
Cucumber Limeade,Cucumber Juice,Lime Juice,Agave Syrup,Refreshing,Sweet,4.1
Cucumber Mint Cooler,Cucumber Juice,Lime Juice,Mint leaves,Refreshing,Herbal,4.2
Dandelion Tea Spritz,Dandelion Root Tea,Club Soda,Lime Juice,Bitter,Refreshing,4.2
Fruit Punch,Orange Juice,Pineapple Juice,Cranberry Juice,Sweet,Fruity,4.2
Ginger Ale Spritzer,Ginger Ale,Lime Juice,Mint Leaves,Sweet,Refreshing,4.1
Ginger Lime Fizz,Ginger Syrup,Lime Juice,Soda Water,Spicy,Refreshing,4.2
Ginger Lime Rickey,Lime Juice,Ginger Syrup,Club Soda,Sour,Spicy,4.2
Ginger Peach Iced Tea,Peach Tea,Ginger Ale,Peach Slice,Sweet,Refreshing,4.3
Grapefruit Jalapeno Cooler,Grapefruit Juice,Jalapeno Slices,Agave Syrup,Sour,Spicy,4.2
Grapefruit Mint,Grapefruit Juice,Mint Leaves,Club Soda,Bitter,Refreshing,4.2
Grapefruit Paloma,Grapefruit Juice,Lime Juice,Agave Syrup,Sour,Bitter,4.1
Grapefruit Rosemary Spritzer,Grapefruit Juice,Club Soda,Rosemary,Tart,Herbal,4.1
Grapefruit Sage,Grapefruit Juice,Sage Leaves,Soda Water,Bitter,Refreshing,4.2
Grapefruit Spritzer,Grapefruit Juice,Soda Water,Grapefruit Slice,Sour,Refreshing,4.2
Grapefruit Spritzer,Grapefruit Juice,Club Soda,Mint Leaves,Refreshing,Bitter,4.3
Green Smoothie,Spinach,Banana,Honey,Sweet,Refreshing,4.1
Hibiscus Tea Cooler,Hibiscus tea,Lime Juice,Honey,Tart,Floral,4.2
Honeydew Basil Cooler,Honeydew Melon Juice,Lime Juice,Basil leaves,Sweet,Herbal,4.1
Honeydew Mint Cooler,Honeydew Melon Juice,Lime Juice,Mint Leaves,Refreshing,Sweet,4.2
Kiwi Lime Mojito,Kiwi,Lime Juice,Mint leaves,Sour,Minty,4.3
Kiwi Margarita,Kiwi Juice,Lime Juice,Agave Syrup,Sour,Fruity,4.1
Kiwi Strawberry Lemonade,Lemonade,Kiwi,Strawberry,Refreshing,Fruity,4.2
Lavender Lemonade,Lemonade,Lavender,Simple Syrup,Sweet,Refreshing,4.1
Lemon and Sage Spritz,Lemon Juice,Sage Leaves,Club Soda,Bitter,Refreshing,4.3
Lemon Basil Fizz,Lemon Juice,Basil Syrup,Club Soda,Sour,Herbal,4.1
Lemon Ginger Iced Tea,Lemon Juice,Ginger Syrup,Iced Tea,Sour,Spicy,4.1
Lemon Rosemary Sparkler,Lemon Juice,Rosemary Syrup,Club Soda,Sour,Herbal,4.2
Lime and Cilantro Mocktail,Lime Juice,Cilantro Syrup,Club Soda,Sour,Herbal,4.1
Mango Habanero Mocktail,Mango Juice,Habanero Syrup,Lime,Sour,Spicy,4.1
Mango Lassi,Mango,Yogurt,Sugar,Sweet,Creamy,4.3
Matcha Green Tea Latte,Matcha Powder,Milk,Honey,Creamy,Earthy,4.3
Mint Julep Mocktail,Mint leaves,Lime Juice,Simple Syrup,Herbal,Minty,4.3
Minty Lemonade,Lemonade,Mint Leaves,Simple Syrup,Sweet,Refreshing,4.2
Minty Lime Refresher,Lime Juice,Club Soda,Mint Leaves,Refreshing,Tart,4.1
Orange Creamsicle,Orange Juice,Milk,Vanilla Extract,Sweet,Creamy,4.4
Orange Ginger Fizz,Orange Juice,Ginger Ale,Lime,Sour,Fruity,4.3
Orange Sunrise,Orange Juice,Pineapple Juice,Grenadine,Sweet,Fruity,4.1
Passionfruit Habanero Cooler,Passionfruit juice,Habanero Syrup,Lime,Sour,Spicy,4.3
Passionfruit Lemonade,Lemonade,Passionfruit Syrup,Lime,Sweet,Fruity,4.2
Passionfruit Mango Smoothie,Mango,Agave Syrup,Passionfruit Juice,Sweet,Fruity,4.2
Peach Ginger Fizz,Peach Juice,Ginger Ale,Lime Juice,Refreshing,Sweet,4.3
Peach Iced Tea,Peach tea,Lemonade,Peach Slice,Sweet,Fruity,4.1
Peach Lemonade,Lemonade,Peach Syrup,Peach Slice,Sweet,Fruity,4.3
Peanut Butter Banana Smoothie,Peanut Butter,Banana,Milk,Creamy,Nutty,4.1
Pina Colada Smoothie,Pineapple Juice,Coconut Milk,Banana,Creamy,Fruity,4.3
Pineapple Coconut Cooler,Pineapple Juice,Coconut Water,Lime Juice,Sweet,Creamy,4.1
Pineapple Coconut Mojito,Pineapple Juice,Coconut water,Lime,Sweet,Minty,4.1
Pineapple Cucumber Cooler,Pineapple Juice,Cucumber Juice,Mint Leaves,Refreshing,Sweet,4.1
Pineapple Jalapeno Margarita,Pineapple Juice,Jalapeno,"Simple Syrup, Lime",Sour,Spicy,4.1
Pineapple Mint Mocktail,Pineapple Juice,Mint syrup,Lime,Sour,Minty,4.1
Pineapple Sage Tonic,Pineapple Juice,Sage Leaves,Tonic Water,Bitter,Sweet,4.1
Pomegranate Lemon Spritzer,Pomegranate Juice,Club Soda,Lemon,Tart,Fruity,4.3
Pomegranate Margarita Mocktail,Pomegranate Juice,Lime Juice,Agave syrup,Sour,Refreshing,4.1
Raspberry Lemon Spritzer,Lemonade,Raspberry Syrup,Club Soda,Refreshing,Fruity,4.2
Raspberry Lemonade,Lemonade,Raspberries,Simple Syrup,Sweet,Fruity,4.3
Raspberry Lime Rickey,Raspberry Syrup,Lime Juice,Club Soda,Sour,Fruity,4.2
Raspberry Sparkler,Raspberry Syrup,Club Soda,Lemon,Sweet,Fruity,4.3
Raspberry White Hot Chocolate,White Chocolate,Milk,Raspberry Syrup,Creamy,Fruity,4.1
Shirley Temple,Lemon Lime Soda,Grenadine,Maraschino Cherry,Sweet,Fruity,4.1
Sour Apple Spritz,Apple Juice,Lime Juice,Club Soda,Sour,Fruity,4.2
Sparkling Lavender Lemonade,Lemonade,Lavender syrup,Club Soda,Sweet,Floral,4.3
Sparkling Peach Punch,Peach Nectar,Sparkling Water,Lemon Juice,Refreshing,Fruity,4.1
Spiced Apple Cider,Apple Cider,Cinnamon Stick,Star Anise,Bitter,Spicy,4.3
Spicy Ginger Ale,Ginger Ale,Chili powder,Lime,Spicy,Fizzy,4.3
Spicy Grapefruit,Grapefruit Juice,Jalapeno Syrup,Soda Water,Bitter,Spicy,4.3
Strawberry Basil Lemonade,Lemonade,Strawberries,Basil Leaves,Sweet,Fruity,4.3
Strawberry Cheesecake Smoothie,Strawberries,Cream Cheese,Milk,Creamy,Fruity,4.2
Strawberry Kiwi Smash,Strawberries,Kiwi,Club soda,Sweet,Fruity,4.2
Strawberry Mint Lemonade,Lemonade,Strawberries,Mint,Sweet,Fruity,4.2
Tropical Punch,Pineapple Juice,Orange juice,Mango Juice,Sweet,Fruity,4.3
Tropical Yogurt Smoothie,Mango,Pineapple,Yogurt,Creamy,Fruity,4.2
Turmeric Tonic,Turmeric Juice,Tonic Water,Lime Juice,Bitter,Spicy,4.1
Vanilla Chai Latte,Chai Tea,Milk,Vanilla Syrup,Creamy,Spicy,4.3
Vanilla Rooibos Tea Latte,Rooibos Tea,Milk,Vanilla extract,Creamy,Herbal,4.1
Virgin Margarita,Lime Juice,Orange Juice,Agave Syrup,Sour,Refreshing,4.2
Virgin Mary,Tomato Juice,Worcestershire Sauce,Tabasco Sauce,Spicy,Savory,4.3
Virgin Mojito,Lime Juice,Mint Leaves,Soda Water,Sour,Refreshing,4.3
Virgin Pina Colada,Pineapple Juice,Coconut Cream,Pineapple Slice,Sweet,Creamy,4
Watermelon Lime Slush,Watermelon Juice,Lime Juice,Ice,Refreshing,Sweet,4.3
Watermelon Slushie,Watermelon,Lime Juice,Agave syrup,Sweet,Refreshing,4.3
